GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-util,br.com.codesolver.util,MacAddress,0,131,0,12,0,29,0,13,0,7
java-util,br.com.codesolver.util,Version,45,166,14,14,9,35,11,16,0,13
java-util,br.com.codesolver.util,StringUtil,32,945,4,48,9,104,3,37,0,14
java-util,br.com.codesolver.util,DateUtil,0,294,0,24,0,81,0,31,0,19
java-util,br.com.codesolver.util,Time,57,163,13,9,14,37,12,9,1,9
java-util,br.com.codesolver.util,VersionRuntimeException,19,4,0,0,8,2,4,1,4,1
java-util,br.com.codesolver.util,TimeRuntimeException,23,0,0,0,10,0,5,0,5,0
java-util,br.com.codesolver.digester,AlgorithmType,0,112,0,0,0,19,0,3,0,3
java-util,br.com.codesolver.digester,DigesterException,7,16,0,0,2,8,1,4,1,4
java-util,br.com.codesolver.digester,DigesterFactory,20,37,0,4,4,12,0,4,0,2
java-util,br.com.codesolver.digester,DigesterSUN,0,73,0,0,0,18,0,9,0,9
java-util,br.com.codesolver.digester,DigesterCRC16,0,1082,0,2,0,13,0,7,0,6
java-util,br.com.codesolver.uuid,UUIDGeneratorVersionInvalid,7,16,0,0,2,8,1,4,1,4
java-util,br.com.codesolver.uuid,UUIDGeneratorNodeInvalid,7,16,0,0,2,8,1,4,1,4
java-util,br.com.codesolver.uuid,UUIDGenerator,0,200,1,13,0,44,1,13,0,7
java-util,br.com.codesolver.session,SessionKey,111,0,14,0,23,0,13,0,6,0
java-util,br.com.codesolver.session,Session,0,6,0,0,0,1,0,1,0,1
java-util,br.com.codesolver.session,SessionParam,28,87,7,9,7,24,6,8,2,4
java-util,br.com.codesolver.session,SimpleSession,96,97,15,13,24,25,14,9,3,6
java-util,br.com.codesolver.session,SessionRuntimeException,19,4,0,0,8,2,4,1,4,1
java-util,br.com.codesolver.session,SimpleSessionManager,36,134,1,5,12,33,1,11,0,9
